location_country_code,location_region,location_city,fundedorg_name,fundedorg_description,fundedorg_short_description,fundedorg_categories,fundedorg_category_groups,fundedorg_permalink,announced_on,funding_type,series,money_raised_usd,n_investors,investor_name,investor_type,investor_investor_type,investor_description,investor_short_description,uuid,Year,Month
Canada,Ontario,Toronto,GoParkr,"GoParkr helps drivers connect with parking spaces effortlessly with real-time pricing and spaces availability. Find, reserve, and compare parking spaces at events, downtown, condominiums, hotels, commercial parking garages, airports, or subway stations, hospitals, or universities around the city. Our goal is to improve mobility for everyone through a fully digitized parking process streamlined for drivers, owners, and operators.

In the wake of continuing urbanization and congestion, GoParkr recognizes that this as a problem for future growth. We would like to better improve our solution as traffic and parking become increasingly difficult to manage. With technologies such as autonomous vehicles becoming more prominent in our everyday lives, it is inevitable that the entire parking industry is on the brink of a disruption. 

The GoParkr mobile application securely connects drivers to private and commercial parking spaces. GoParkr focuses on optimizing parking space and connecting the dots in the entire parking process. Parking should be a harmony involving in-car mobile platform for the drivers and big data analytics for the parking spaces, creating seemingly frictionless parking.

GoParkr.com
We Deliver.
",Intelligent Shared Parking Solution For Smart Cities,"'Autonomous Vehicles', 'Mapping Services', 'Mobile Apps', 'Sharing Economy', 'Navigation', 'Parking'","'Transportation', 'Navigation and Mapping', 'Apps', 'Mobile', 'Software', 'Navigation and Mapping', 'Transportation'",goparkr,2018-06-12,angel,0,0.0,0.0,0,0,0,0,0,c700c59d0dce462e8a7df42be437bfd7,2018,6
China,Jiangsu,Nanjing,BYTON,"BYTON turns cars into a next-generation smart device.

At BYTON automobiles and digital literacy are equally at home with each other. As a start-up, the company creates an environment for free thinking and action. Moreover, the company aims to become a global pioneer in the coming era of connected mobility by designing our cars as a fully connected smart device on wheels.

",BYTON operates as an electric vehicle company that designs cars as a fully connected smart device on wheels.,"'Autonomous Vehicles', 'Electric Vehicle', 'Automotive', 'Manufacturing'","'Transportation', 'Transportation', 'Transportation', 'Manufacturing'",byton,2018-06-11,venture,B,500000000.0,3.0,0,0,0,0,0,375180acb7ca43689160e25ba311d57b,2018,6
Canada,Ontario,Toronto,GoParkr,"GoParkr helps drivers connect with parking spaces effortlessly with real-time pricing and spaces availability. Find, reserve, and compare parking spaces at events, downtown, condominiums, hotels, commercial parking garages, airports, or subway stations, hospitals, or universities around the city. Our goal is to improve mobility for everyone through a fully digitized parking process streamlined for drivers, owners, and operators.

In the wake of continuing urbanization and congestion, GoParkr recognizes that this as a problem for future growth. We would like to better improve our solution as traffic and parking become increasingly difficult to manage. With technologies such as autonomous vehicles becoming more prominent in our everyday lives, it is inevitable that the entire parking industry is on the brink of a disruption. 

The GoParkr mobile application securely connects drivers to private and commercial parking spaces. GoParkr focuses on optimizing parking space and connecting the dots in the entire parking process. Parking should be a harmony involving in-car mobile platform for the drivers and big data analytics for the parking spaces, creating seemingly frictionless parking.

GoParkr.com
We Deliver.
",Intelligent Shared Parking Solution For Smart Cities,"'Autonomous Vehicles', 'Mapping Services', 'Mobile Apps', 'Sharing Economy', 'Navigation', 'Parking'","'Transportation', 'Navigation and Mapping', 'Apps', 'Mobile', 'Software', 'Navigation and Mapping', 'Transportation'",goparkr,2018-06-10,non_equity_assistance,0,0.0,1.0,0,0,0,0,0,29ac0313cb284edfbc06179e66a65f9e,2018,6
Israel,Tel Aviv,Tel Aviv-yafo,Aurora Labs,"Aurora Labs is focused on detecting and fixing SW bugs using proprietary machine learning, root cause analysis, and remote inspection tools, and closing the loop with OTA delta compression installer for 8-64 bit architecture, Linux, and AutoSar OS.

Founded in 2016, Aurora Labs offers a self-healing platform for connected vehicle software, with an advanced Predictive Maintenance Solution to future-proof connected and autonomous cars. 
Aurora Labs’ machine learning algorithms uniquely address all three stages of vehicle maintenance:

The platform detects faults in the software behavior and predicts downtime events;

To guarantee a seamless user experience, the platform fixes errors in the electronic control unit (ECU) software on the go;

And finally, Aurora Labs’ vendor-verified clientless, fastest and most cost-effective OTA update solution enables ECU updates with zero downtime and without requiring dual memory.",Aurora Labs offers a self-healing platform for connected vehicle software.,"'Autonomous Vehicles', 'Predictive Analytics', 'Machine Learning', 'Automotive', 'Developer Tools'","'Transportation', 'Artificial Intelligence', 'Data and Analytics', 'Software', 'Artificial Intelligence', 'Data and Analytics', 'Software', 'Transportation', 'Software'",aurora-labs,2018-06-07,venture,A,0.0,1.0,0,0,0,0,0,43ed4b66fac7407a8a48af322e7eb07b,2018,6
United Kingdom,"Bristol, City of",Bristol,Vehicle Preparation Services,"Vehicle Preparation Services Ltd (VPS) has been supplying skilled technicians throughout the automotive industry for many years and are now a leading contract supplier.
Specialising in the automotive sector, VPS has considerable experience and knowledge in the supply of staff and one of the company's core aims remains the provision of high quality personnel and services at very competitive rates.
VPS recognises the demanding challenges within the automotive industry and the necessity to actively respond to customers requirements and over the years, the company has established a comprehensive database of records which includes previous history of a technician's duties, qualifications, skills, achievements, licences, unique talents and abilities. Benefitting from these details, their company therefore can rapidly find the precise person for the position available.

Quality is paramount in the motor industry and VPS prides itself on ensuring that all staff supplied work to a very high standard. VPS is also committed to a robust technician training and improvement programme and in conjunction with its customers, it can assist technicians to further their product knowledge by enrolling them in manufacturers' training programmes.
VPS is proud of the quality levels achieved by its staff, constantly achieving over 99% Right First Time on enhancement fitments whilst the company continues to find more ways to improve its products and services.",Vehicle Preparation Services Ltd (VPS) has been supplying skilled technicians throughout the automotive industry,"'Autonomous Vehicles', 'Service Industry', 'Automotive'","'Transportation', 'Transportation'",vehicle-preparation-services,2018-06-06,equity_crowdfunding,0,1143246.0,1.0,0,0,0,0,0,1ac448f7b27e42e1bca53104483c3894,2018,6
China,Beijing,Beijing,Mocar,Mocar is China based car maintenance startup company. Mocar sends out mechanics to do light repairs and thorough maintenance in three Chinese cities. The startup is looking into offline partnerships with auto repair shops in order to cover weightier repairs as well.,Mocar is a chinese based Car maintenance startup company,"'Autonomous Vehicles', 'Recreational Vehicles', 'Automotive'","'Transportation', 'Transportation', 'Transportation'",mocar,2018-06-04,venture,0,0.0,1.0,China Merchants Capital,Organization,venture_capital,"Headquatered in both Shenzhen and Hong Kong, China Merchants Capital Management Co., Ltd (""CMC"") was founded in 2012 with registered capital of $160 Million (USD, hereinafter). As the subsidiary of China Merchants Group (""CM Group""), CMC is the investment management platform of it, specializing in alternative investments and management. CMC actively explores opportunities in capital markets to cultivate new industries. At the same time, CMC also integrates internal recourses within in CM Group, seeking synergies between financial sector and other sectors. As of the end of 2014, total AUM of CMC is about $3 Billion.


CMC predominantly invests in opportunities within Chinese SOEs restructuring, industrial upgrading, and new urbanization, seeking cooperation opportunities in the following sectors: infrastructure, medical & pharmaceutical, financial services, real estate, high-tech, agriculture & foods, media, equipment machinery, mining, energy, etc.","China Merchants Capital Management Co., LTD. is a principal investment firm based in Shenzhen, China.",ea9a14067eca4f378778cfbe9d25d03e,2018,6
South Korea,Kwangju-jikhalsi,Gwangju,SOS Lab,"SOS Lab. has various technologies in optical sensors and actuators and is currently focusing on developing optical

measurement sensors based on LiDAR technologies for self-driving cars, drones, and AGVs.",LiDAR Sensor Development,"'Autonomous Vehicles', 'Sensor', 'Drones', 'Security', 'Automotive', 'Industrial Automation'","'Transportation', 'Hardware', 'Consumer Electronics', 'Consumer Goods', 'Hardware', 'Privacy and Security', 'Transportation', 'Manufacturing', 'Science and Engineering'",sos-lab,2018-06-01,venture,A,0.0,0.0,0,0,0,0,0,cc679c9a60a349b1a8481f0ef5df17cd,2018,6
United Kingdom,England,London,Albora Technologies,"Albora Technologies develops next-generation navigation technologies for autonomous vehicles, drones, and UAVs.

Founded in 2017, the company is headquartered in London, England, United Kingdom.","Albora Technologies develops next-generation enabling technologies for Connected Autonomous Vehicles, drones, IoT.","'Autonomous Vehicles', 'Drones', 'Navigation', 'Software'","'Transportation', 'Consumer Electronics', 'Consumer Goods', 'Hardware', 'Navigation and Mapping', 'Software'",alboratechnologies-limited,2018-06-01,undisclosed,0,0.0,0.0,0,0,0,0,0,1089beff7c0d4f5cb83b115df032d029,2018,6
China,Guangdong,Shenzhen,Roadstar.ai,"Roadstar.ai is a Silicon Valley and Shenzhen based startup founded by robotics and machine learning veterans out of Google, Tesla, Nvidia, Apple, and Baidu. They are empowering cars and trucks with artificial intelligence, so as to make transportation safer, more enjoyable, more efficient, and available to everyone.
","Roadstar.ai empowers cars and trucks with artificial intelligence, so as to make transportation safer, more enjoyable, more efficient.","'Autonomous Vehicles', 'Robotics', 'Internet of Things'","'Transportation', 'Hardware', 'Science and Engineering', 'Software', 'Internet Services'",roadstar-ai,2018-05-15,venture,A,128000000.0,5.0,Wu Capital,Organization,family_investment_office,0,"Wu Capital, a Beijing-based family office for Longfor Properties.",7dc7e28525434595a4746e83b491ab4d,2018,5
United Kingdom,"Bristol, City of",Bristol,Rovco,0,"3D vision and artificial intelligence applied to subsea robotics, ROV and AUV","'Autonomous Vehicles', 'Drones', 'Artificial Intelligence', 'Robotics'","'Transportation', 'Consumer Electronics', 'Consumer Goods', 'Hardware', 'Artificial Intelligence', 'Data and Analytics', 'Science and Engineering', 'Software', 'Hardware', 'Science and Engineering', 'Software'",rovco,2018-05-14,seed,0,1627390.0,3.0,0,0,0,0,0,bd15b9b2657649b3bf0797c09332e831,2018,5
Switzerland,Vaud,Ecublens,Fastree3D,"Fastree3D imaging sensors help recognize and measure distance to fast moving objects in real-time, enabling driving assistance or autonomous navigation.  
Fastree3D SA is a fabless semiconductor company, spin-off from EPFL Lausanne, Switzerland founded in September 2013 (UID CHE-291.330.490). The company subsidiary Fastree3D B.V. performs research with TU-Delft, Netherlands (KvK 58866973).","Fastree3D imaging sensors help recognize and measure distance to fast moving objects in real-time, enabling automotive safety.","'Autonomous Vehicles', 'Robotics', '3D Technology', 'Computer Vision', 'Automotive'","'Transportation', 'Hardware', 'Science and Engineering', 'Software', 'Hardware', 'Software', 'Hardware', 'Software', 'Transportation'",fastree3d,2018-05-03,venture,A,0.0,1.0,0,0,0,0,0,4a1947ce4cde4ff3b89b2827ac50a653,2018,5
Israel,Tel Aviv,Tel Aviv,NoTraffic,"NoTraffic is a traffic management platform that optimizes traffic lights in real-time based on smart sensors and prepares the road infrastructure for the connected and autonomous era. 
The platform is powered by an integration of data from proprietary computer vision algorithms and data collected through vehicle-to-infrastructure communication (V2I).
Advanced artificial intelligence (AI) algorithms identify and track all road users, including pedestrians, and optimize the traffic signals while considering nearby intersection traffic.
The system enables cities to implement their traffic policy in a seamless way and operates autonomously in order to maximize traffic flow, reduce congestion, prioritize different types of vehicles, and prevent accidents.
",Traffic management platform based on smart sensors which prepares the road infrastructure for the connected and autonomous era.,"'Smart Cities', 'Autonomous Vehicles', 'Sensor', 'Railroad', 'Artificial Intelligence', 'Transportation', 'Public Safety', 'Internet'","'Real Estate', 'Transportation', 'Hardware', 'Transportation', 'Artificial Intelligence', 'Data and Analytics', 'Science and Engineering', 'Software', 'Transportation', 'Government and Military', 'Internet Services'",notraffic,2018-05-01,seed,0,3200000.0,0.0,0,0,0,0,0,ece8896e3f414a8cb262403b431b710d,2018,5
Germany,Berlin,Berlin,Teraki,"Teraki's software solution works as an enabler for connected car, telematics and autonomous car applications. It is a solution which goes beyond data compression and is uniquely adapted to applications such as predictive maintenance, UBI and telematics which were not possible before.","Teraki offers AI software that enables automotive Insurance, Predictive Maintenance, Fleet Management and AD applications.","'Autonomous Vehicles', 'Automotive', 'B2B', 'Internet of Things', 'Information Technology'","'Transportation', 'Transportation', 'Internet Services', 'Information Technology'",teraki,2018-05-01,seed,0,0.0,0.0,0,0,0,0,0,9147b40dd1b049ada92e6eab5c952667,2018,5
