location_country_code,location_region,location_city,fundedorg_name,fundedorg_description,fundedorg_short_description,fundedorg_categories,fundedorg_category_groups,fundedorg_permalink,announced_on,funding_type,series,money_raised_usd,n_investors,investor_name,investor_type,investor_investor_type,investor_description,investor_short_description,uuid,Year,Month
Israel,Tel Aviv,Tel Aviv,Brodmann17,"Brodmann17 is a software technology company that enables deep learning computer vision applications on edge devices. The company is led by a serial entrepreneur and world-class technologists and researchers.
 
Brodmann17's software architecture achieves industry-best performance and high accuracy using only a fraction of the compute power on any processor and using existing hardware. The technology enables computer vision applications even on commodity CPU environments where no one else can.
 
Brodmann17's robust software is designed for the automotive industry's toughest standards. The company has partnered with a range of global OEMs and Tier-1s on a range of automotive use cases.",At Brodmann17 we are developing the most advanced artificial visual intelligence.,"'Autonomous Vehicles', 'Artificial Intelligence', 'Machine Learning', 'Computer Vision'","'Transportation', 'Artificial Intelligence', 'Data and Analytics', 'Science and Engineering', 'Software', 'Artificial Intelligence', 'Data and Analytics', 'Software', 'Hardware', 'Software'",brodmann17,2018-08-01,convertible_note,0,0.0,1.0,0,0,0,0,0,7f271f12d39c41389205bb86073802d1,2018,8
China,Beijing,Beijing,Momenta,"Momenta is an autonomous driving startup operating out of Beijing. Its deep-learning based software in perception, HD semantic mapping, and data-driven path planning enables the realization of full autonomy. Momenta offers multi-level autonomous driving solutions as well as big data products and services.


Momenta’s team is composed of some of the world’s top experts in computer vision and deep learning, including one of the authors of Faster R-CNN and ResNet, the most popular deep learning network, as well as winners of ImageNet 2015, MS COCO Challenge 2015, and ImageNet 2017. Momenta is leading the autonomous driving software space with advanced technical competence and a strong commitment to innovation.",Momenta is an autonomous driving startup operating out of Beijing.,"'Autonomous Vehicles', 'Mapping Services', 'Artificial Intelligence', 'Transportation', 'Computer Vision', 'Automotive', 'Software', 'Information Services', 'Information Technology'","'Transportation', 'Navigation and Mapping', 'Artificial Intelligence', 'Data and Analytics', 'Science and Engineering', 'Software', 'Transportation', 'Hardware', 'Software', 'Transportation', 'Software', 'Information Technology', 'Information Technology'",momenta-ai,2018-07-30,angel,0,0.0,1.0,Weilai Capital,Organization,0,0,Weilai Capital is an investment Firm.,47e6c8ef6aec4caba64fdc89ce633702,2018,7
United States,California,Sunnyvale,Marvelmind Robotics,"Precise (+-2cm) indoor navigation system for autonomous robots, drones and VR","Precise (±2cm) Indoor ""GPS"" for autonomous robots, drones, VR and humans. Autonomous robotics for industrial applications","'Autonomous Vehicles', 'Drones', 'Navigation', 'Robotics', 'Internet of Things', 'Hardware'","'Transportation', 'Consumer Electronics', 'Consumer Goods', 'Hardware', 'Navigation and Mapping', 'Hardware', 'Science and Engineering', 'Software', 'Internet Services', 'Hardware'",marvelmind-robotics,2018-07-28,seed,0,0.0,0.0,0,0,0,0,0,0b21e0b535ed46e38de432ef78f5d4a1,2018,7
Australia,Queensland,Brisbane,Fast Cities Australia,"St Baker Energy Innovation Fund is an active investor in a portfolio of early stage companies that are developing disruptive products in the clean energy sector.The Fund invests in transformative companies across the energy sector from generation to consumption, including innovations that enable entirely new products, performance improvements of existing products, increased efficiency and more sustainable processes.",Fast Cities Australia is a Automotive   Company.,"'Autonomous Vehicles', 'Electric Vehicle', 'Transportation', 'Automotive'","'Transportation', 'Transportation', 'Transportation', 'Transportation'",fast-cities-australia,2018-07-27,venture,A,7000000.0,1.0,St Baker’s Energy Innovation Fund,Organization,0,0,St Baker’s Energy Innovation Fund,d5ff6e87af72407d8fc24c38d2276826,2018,7
South Korea,Seoul-t'ukpyolsi,Seoul,Seoul Robotics,0,Making Robots Intelligent - Building advanced Lidar autonomous perception software for self driving cars and robots,"'Autonomous Vehicles', 'Sensor', 'Drones', 'Artificial Intelligence', 'Robotics'","'Transportation', 'Hardware', 'Consumer Electronics', 'Consumer Goods', 'Hardware', 'Artificial Intelligence', 'Data and Analytics', 'Science and Engineering', 'Software', 'Hardware', 'Science and Engineering', 'Software'",seoul-robotics,2018-07-24,seed,0,1100000.0,4.0,KB Investment,Organization,private_equity_firm,"Founded in 1990, KB Investment Co., Ltd. (KBIC) is one of Korea’s leading investment firms of venture capital and private equity funds with over USD 1.4 Billion of asset under management as of December 2013. KBIC is a subsidiary of KB Financial Group, Korea’s premier financial group with the largest domestic customer base as well as the widest network of service branches in Korea.

KBIC’s team is recognized for industry thought leadership, a broad network of powerful industry relationships, and a unique professional investment approach to investing. KBIC passionately support our portfolio companies with active guidance in all key aspects of team building, strategy, operations and governance",KB Investment is Korea’s investment firm of venture capital and private equity funds.,2046a6716a984edc8d166ef720529e84,2018,7
Croatia,Grad Zagreb,Zagreb,Gideon Brothers,"Gideon Brothers develops autonomous, collaborative and modular robot platforms for unstructured, indoor, human environments and autonomy technologies for various industries. They are one of the largest robotics engineering companies in South East Europe.

Founded in 2017, the company is headquartered in Zagreb, Croatia.",Gideon Brothers solves industrial problems with AI-powered autonomous robots.,"'Autonomous Vehicles', 'Artificial Intelligence', 'Robotics', 'Machine Learning'","'Transportation', 'Artificial Intelligence', 'Data and Analytics', 'Science and Engineering', 'Software', 'Hardware', 'Science and Engineering', 'Software', 'Artificial Intelligence', 'Data and Analytics', 'Software'",gideon-brothers,2018-07-23,seed,0,765000.0,3.0,0,Person,0,0,0,95007f264eeb4ae98b796956a92fe3ad,2018,7
United Kingdom,England,London,Humanising Autonomy,"Helping autonomous vehicles understand pedestrian behavior across cultures.
Humanising Autonomy is creating a new category of human-centred products that help people and autonomous systems to better understand,
interact, and work with each other.",Understanding human behavior and body language to develop solutions for two-way communication between pedestrians and autonomous vehicles,"'Autonomous Vehicles', 'Artificial Intelligence', 'Human Computer Interaction'","'Transportation', 'Artificial Intelligence', 'Data and Analytics', 'Science and Engineering', 'Software', 'Design', 'Science and Engineering'",blink-humanising-autonomy,2018-07-16,venture,0,0.0,1.0,0,0,0,0,0,b744cfcf9a6d487aacb0a34af9e81a34,2018,7
United States,Colorado,Denver,Atomos Nuclear and Space,"With the manufacture and operation of spacecraft that leverage nuclear power and propulsion systems, Atomos Nuclear and Space is building an in-space transportation network that will allow enterprises and explorers to expand their business in space and reach new destinations. Our spacecraft rendezvous with customer payloads in low orbits and deliver them to their final destinations. Any orbit beyond high-LEO is serviceable by Atomos.

Fission power changes the paradigm. Atomos is pioneering the commercialization of nuclear technologies for space exploration and development. Our small modular fission power system will enable an entirely new scale of power-intensive space operations, helping to advance capabilities from space transportation to asteroid mining; these technologies enable sustainable, scalable in-space operations near Earth and in deep space. Extended operational lifetimes, expanded power budgets, and faster transfer times are only a few of the benefits made possible by space nuclear technologies. ",Splitting the atom to connect the planets.,"'Autonomous Vehicles', 'Nuclear', 'Logistics', 'Energy Management', 'Robotics', 'Transportation', 'Aerospace', 'Space Travel', 'Clean Energy'","'Transportation', 'Science and Engineering', 'Transportation', 'Energy', 'Hardware', 'Science and Engineering', 'Software', 'Transportation', 'Science and Engineering', 'Transportation', 'Energy', 'Sustainability'",atomos-nuclear-and-space,2018-07-16,convertible_note,0,0.0,0.0,0,0,0,0,0,99b97172482e40ebaf81f3955a1aee44,2018,7
Sweden,Stockholms Lan,Stockholm,Einride,"Part commercial enterprise, part revolutionary movement, Einride is bent on a complete transformation of the transportation industry.

By challenging conventional thinking, by utilizing big data and cutting-edge technology — and by inspiring people to take responsibility for the planet and each other — Einride is making the movement of goods more intelligent: emission-free, safe, cost-effective, and ultimately, sustainable.",Einride is a cargo and freight company that designs and builds technologies for transportation system.,"'Autonomous Vehicles', 'Electric Vehicle', 'Logistics', 'Machine Learning', 'Transportation'","'Transportation', 'Transportation', 'Transportation', 'Artificial Intelligence', 'Data and Analytics', 'Software', 'Transportation'",einride,2018-07-12,seed,0,4082399.0,0.0,0,0,0,0,0,9d49210b0c784df49ce3ce98a2fb76a1,2018,7
Israel,Tel Aviv,Tel Aviv-yafo,Arbe Robotics,"Arbe Robotics is building the future car’s eyes and brain using a High-Resolution Radar enabling cars to “see” the environment in any weather and any lighting condition, to long, mid and short ranges as well as in any azimuth, elevation and Doppler. Our radar detects cars, motorcycles, bikes, and most importantly humans.

Arbe’s radar, based on our proprietary chipsets, is a next generation of safety products for ADAS and autonomous driving, offering superior performance at a low cost, size and power consumption.",Real Time 4D Imaging Radar to autonomous driving,"'Autonomous Vehicles', 'Robotics', 'Automotive'","'Transportation', 'Hardware', 'Science and Engineering', 'Software', 'Transportation'",arbe-robotics,2018-07-11,venture,A,10000000.0,7.0,360 Capital Partners,Organization,venture_capital,"360 Capital Partners is a Venture Capital firm, investing in Innovation at full scale, in Europe and more particularly in France and Italy.

Over Euro 300 Mio under management in the last 15 years, 360° Capital Partners is managed by a consolidated team which has cumulated 60+ years of Venture Capital experience in investing in, following-up and/or exiting from over 80 companies.
They leverage an important international network, having co-invested with major international Venture Capital funds in over 10 countries with a proven top quartile track record, either as individuals or as a team, in very different economic environments.",360 Capital Partners is a european early-stage venture capital firm based in Paris and Milan.,eb168563ab4d496b98c9e353aaf7638b,2018,7
Israel,Tel Aviv,Tel Aviv-yafo,Aurora Labs,"Aurora Labs is focused on detecting and fixing SW bugs using proprietary machine learning, root cause analysis, and remote inspection tools, and closing the loop with OTA delta compression installer for 8-64 bit architecture, Linux, and AutoSar OS.

Founded in 2016, Aurora Labs offers a self-healing platform for connected vehicle software, with an advanced Predictive Maintenance Solution to future-proof connected and autonomous cars. 
Aurora Labs’ machine learning algorithms uniquely address all three stages of vehicle maintenance:

The platform detects faults in the software behavior and predicts downtime events;

To guarantee a seamless user experience, the platform fixes errors in the electronic control unit (ECU) software on the go;

And finally, Aurora Labs’ vendor-verified clientless, fastest and most cost-effective OTA update solution enables ECU updates with zero downtime and without requiring dual memory.",Aurora Labs offers a self-healing platform for connected vehicle software.,"'Autonomous Vehicles', 'Predictive Analytics', 'Machine Learning', 'Automotive', 'Developer Tools'","'Transportation', 'Artificial Intelligence', 'Data and Analytics', 'Software', 'Artificial Intelligence', 'Data and Analytics', 'Software', 'Transportation', 'Software'",aurora-labs,2018-07-11,venture,A,8400000.0,2.0,Fraser McCombs Capital,Organization,venture_capital,Fraser McCombs Capital provides investment capital and advisory services to best-in-class automotive companies.,"Fraser McCombs Capital, a Texas based venture capital firm, provides investment capital and advisory services to automotive companies.",b246286bf4944ae39f523677fe6401dd,2018,7
United States,California,Fremont,Pony.ai,"Pony.ai is a developer of AI-based robot designed for autonomous driving.

The company was founded by James Peng and Tiancheng Lou in 2016 and is headquartered in Fremont, California, United States.",Pony.ai is a developer of AI-based robot designed for autonomous driving.,"'Autonomous Vehicles', 'Artificial Intelligence', 'Transportation', 'Automotive'","'Transportation', 'Artificial Intelligence', 'Data and Analytics', 'Science and Engineering', 'Software', 'Transportation', 'Transportation'",pony-ai,2018-07-11,venture,A,102000000.0,11.0,Eight Roads Ventures,Organization,venture_capital,"Eight Roads Ventures is a venture capital fund, with offices in China, India, Japan and the UK. Eight Roads is the proprietary investment arm of Fidelity International Limited (FIL). The Ventures arm of FIL was formerly known as Fidelity Growth Partners","Eight Roads Ventures is a venture capital fund, with offices in China, India, Japan and the UK.",59b4a50671624e6d86a14cc3cb626ecc,2018,7
United States,Pennsylvania,Pittsburgh,Locomation,0,Locomation is a developer of safe and reliable autonomous trucking solutions.,'Autonomous Vehicles','Transportation',locomation,2018-07-10,seed,0,5050000.0,2.0,0,0,0,0,0,3796c3eda47e4f8392f04f7f4f576ef8,2018,7
United States,California,San Francisco,Camp Six Labs,"Camp Six is developing an aerial freight transportation network. Powered by unmanned aircraft designed to deliver 1,000lbs of payload 1,000 miles away, we believe better transportation will boost lives in every remote corner of the globe.",A to B,"'Autonomous Vehicles', 'Freight Service', 'Service Industry', 'Air Transportation'","'Transportation', 'Transportation', 'Transportation'",camp-six-labs,2018-07-10,venture,0,3325011.0,0.0,0,0,0,0,0,2d0e1d6dff74411cb4130acacb30b898,2018,7
United States,California,Palo Alto,DeepMap,"DeepMap is solving the HD mapping & localization and big data management challenge for L4/5 autonomous vehicles.

We are based in Palo Alto, CA, and have blue-chip investors supporting a world-class team from Google Earth, Google Maps, Apple Maps, and Baidu Maps. We are growing our team aggressively yet selectively.

Autonomous mobility will have a huge impact on society and we are excited to be able to help make it a safe reality in partnership with automotive industry companies.",Our unique service turns your self-driving fleet data into high performance maps,"'Autonomous Vehicles', 'Computer', 'Software'","'Transportation', 'Consumer Electronics', 'Hardware', 'Software'",deepmap,2018-07-09,venture,0,60000000.0,3.0,0,0,0,0,0,adc64734f6a245068aae5148cb253866,2018,7
United States,California,Foster City,Zoox,"Zoox is a California based robotics company founded by Tim Kentley-Klay and Dr. Jesse Levinson to create autonomous mobility. Operating at the intersection of design, computer science, and electro-mechanical engineering, Zoox is a multidisciplinary team working to imagine and build an advanced mobility experience that will support the future needs of urban mobility for both people and the environment. 
",Zoox is a robotics company pioneering autonomous mobility as-a-service.,"'Autonomous Vehicles', 'Robotics', 'Transportation'","'Transportation', 'Hardware', 'Science and Engineering', 'Software', 'Transportation'",zoox,2018-07-08,venture,B,500000000.0,1.0,Grok Ventures,Organization,venture_capital,Grok Ventures is a private investment company. They back world-class teams solving big problems to shape a better future. They invest in fast growing technology-enabled businesses.,Grok Ventures is a private investment company.,351bc54fb7784dd581b17a1f6e724249,2018,7
United States,Oregon,Bend,Azevtec,"Azevtec, Inc. operates in the technology industry. Azevtec  is developing “autonomous, zero-emission vehicle systems” and “working to accelerate the adoption of sustainable transportation technology.”",A furtive autonomous vehicle startup .,"'Autonomous Vehicles', 'Industrial'",'Transportation',azevtec,2018-07-03,venture,0,8118113.0,0.0,0,0,0,0,0,7f961058dcac49d6805661dc91636f75,2018,7
United States,Massachusetts,Cambridge,Zippity,"Convenient car maintenance brought to your workplace. Oil changes, tires, wipers, filters, brakes, and more, all taken care of in Thier mobile service trailer while you're at work.","Zippity  is a Comapny that  provides on-site car care at the customer’s place of work through a seamless, tech-enabled user experience. ","'Autonomous Vehicles', 'Automotive'","'Transportation', 'Transportation'",zippity,2018-07-02,venture,0,2024088.0,0.0,0,0,0,0,0,de9d757d8ae943499e8ad44bf9769b8c,2018,7
United States,Pennsylvania,Pittsburgh,"RoadBotics, Inc.","RoadBotics monitors and manages our world’s roadways by identifying and rating a wide array of important roadway features and conditions, including cracks, potholes, signage and other characteristics. Our AI technology was developed at the Carnegie Mellon University Robotics Institute with the explicit goal of providing efficient and cost-effective roadway transparency to those responsible for roadway infrastructure. Our technology turns any smartphone and car, truck or bike into a sophisticated, mobile sensor. 

With our tool, anyone can download our app to their smartphone and simply attach their phone to a dash mount, giving the phone’s camera a full view of the road ahead. The data is automatically uploaded to our AI-driven cloud platform to be analyzed. The video data, along with the smartphone’s other sensor capabilities, allow us to precisely calculate a wide variety of vital and established roadway metrics. The RoadBotics ‘red, yellow, green’ web accessible visualization map gives roadway managers a comprehensive and near real-time status of their roads, streets, bike paths, walkways and bridges.   ",RoadBotics is AI technology that monitors and manages roadways around the world.,"'Autonomous Vehicles', 'Mapping Services', 'Artificial Intelligence', 'Machine Learning', 'Transportation', 'Infrastructure', 'Apps', 'Internet of Things', 'Public Transportation', 'SaaS'","'Transportation', 'Navigation and Mapping', 'Artificial Intelligence', 'Data and Analytics', 'Science and Engineering', 'Software', 'Artificial Intelligence', 'Data and Analytics', 'Software', 'Transportation', 'Apps', 'Software', 'Internet Services', 'Transportation', 'Software'",roadbotics-inc,2018-07-01,seed,0,0.0,2.0,0,0,0,0,0,5c0223d324034fefab2b0c55da1b1fa0,2018,7
United States,Pennsylvania,Pittsburgh,Locomation,0,Locomation is a developer of safe and reliable autonomous trucking solutions.,'Autonomous Vehicles','Transportation',locomation,2018-06-30,seed,0,0.0,1.0,0,0,0,0,0,d4b781893d754aad92d7448872bd696b,2018,6
China,Shanghai,Shanghai,Zongmu,"ZongMu Technology was founded in January 2013. Headquartered in Pudong ZhangJiang high-tech park of Shanghai, ZongMu has RD centers in Beijing and ShenZhen respectively. Through its innovative solution and excellent service to the local market, ZongMu has shipped multiple SurroundView ADAS (Advanced Driving Assistance System) in main stream OEM automotive markets, becoming the leading SurroundView ADAS solution vendor for China domestic market and formed strategic partnership with multiple OEM car makers and their tier1 suppliers.",Zongmu Technology is a Chinese self-driving tech firm.,"'Autonomous Vehicles', 'Robotics', 'Automotive'","'Transportation', 'Hardware', 'Science and Engineering', 'Software', 'Transportation'",zongmu,2018-06-26,venture,C,0.0,3.0,Xiamen C&D Corporation Ltd.,Organization,0,0,Xiamen C&D Corporation Ltd.,5752a32dd20041bdb6bb8603ce1802ec,2018,6
Switzerland,Zug,Zug,DAV,0,"

DAV is a blockchain-based transportation platform. Our infrastructure enables vehicles to discover, communicate, and transact with one.","'Blockchain', 'Autonomous Vehicles', 'Cryptocurrency', 'Drones', 'Transportation'","'Transportation', 'Financial Services', 'Payments', 'Software', 'Consumer Electronics', 'Consumer Goods', 'Hardware', 'Transportation'",dav,2018-06-25,initial_coin_offering,0,24500000.0,0.0,0,0,0,0,0,745149e03f3d4166a6722f73f5f38746,2018,6
United States,California,San Francisco,Bossa Nova,"Bossa Nova is the leading provider of real-time, on-shelf product data for the global retail industry. Its technology collects terabytes of data that enables the retail ecosystem to optimize the omnichannel shopping experience. With a multidisciplinary team of robotics, computer vision, artificial intelligence, and big data scientists, Bossa Nova has solved the challenges to deploy fully autonomous service robots in busy and crowded environments. Bossa Nova is privately held, headquartered in San Francisco with offices in Mountain View and Pittsburgh. ","Bossa Nova is the leading provider of real-time, on-shelf product data for the global retail industry. ","'Autonomous Vehicles', 'Artificial Intelligence', 'Human Computer Interaction', 'Robotics', 'Cloud Computing', 'Retail Technology', 'Analytics', 'Computer Vision'","'Transportation', 'Artificial Intelligence', 'Data and Analytics', 'Science and Engineering', 'Software', 'Design', 'Science and Engineering', 'Hardware', 'Science and Engineering', 'Software', 'Internet Services', 'Software', 'Commerce and Shopping', 'Hardware', 'Software', 'Data and Analytics', 'Hardware', 'Software'",bossa-nova-robotics-inc,2018-06-21,venture,C,29000000.0,6.0,Cota Capital,Organization,"micro_vc,venture_capital","Cota Capital is building a disruptive businesses of the future.  Cota Capital is taking a new approach to technology investing by identifying attractive technology investments across the public and private markets at any stage, from seed stage in the private market to securities in the public market. They partner with world-class entrepreneurs and and leadership teams to build businesses that leverage technology in innovative ways to disrupt all industries.","Founded in 2014, Cota Capital is a California-based investment firm that partners with entrepreneurs to build disruptive businesses.",d090d33668b941759675e1c67869feac,2018,6
Germany,Nordrhein-Westfalen,Cologne,Silexica,"Silexica provides software development solutions that enable technology companies to take intelligent products such as autonomous cars from concept to deployment. The SLX programming tools help developers implement software to run efficiently on embedded supercomputers by offering deep understanding of how software behaves on the system.

Silexica was founded in 2014 and has raised $28 million in funding. With headquarters in Germany and offices in the US and Japan, Silexica has partnered with global customers across many rapidly transforming industries including automotive, wireless and aerospace. For further information please visit: www.silexica.com
",Silexica provides software development solutions that take intelligent products such as autonomous cars from concept to deployment.,"'Autonomous Vehicles', 'Computer', 'Embedded Software', 'Embedded Systems', 'Software', 'Developer Tools', 'Hardware'","'Transportation', 'Consumer Electronics', 'Hardware', 'Software', 'Hardware', 'Science and Engineering', 'Software', 'Software', 'Software', 'Hardware'",silexica,2018-06-21,venture,B,18000000.0,5.0,EQT Ventures,Organization,venture_capital,"EQT Ventures is a new European VC fund with commitments of just over €566 million, and offices in Stockholm, Amsterdam, London and Luxembourg. Fuelled by some of Europe’s most experienced company builders, EQT Ventures help the next generation of entrepreneurs with capital and hands on support. EQT Ventures is part of EQT, a leading alternative investments firm with approximately EUR 35 billion in raised capital across 22 funds. EQT funds have portfolio companies in Europe, Asia and the US with total sales of more than EUR 17 billion and approximately 100,000 employees.",EQT Ventures supports ambitious founders on their journeys to global success.,81c2d48324b040a38dacab481484425a,2018,6
United States,Utah,Salem,"Inertial Sense, INC",0,Inertial Sense provides high precision micro-navigation solutions for a world that is beginning to move on its own.,"'Autonomous Vehicles', 'GPS', 'Drones', 'Navigation', 'Motion Capture', 'Robotics', 'Hardware'","'Transportation', 'Hardware', 'Navigation and Mapping', 'Consumer Electronics', 'Consumer Goods', 'Hardware', 'Navigation and Mapping', 'Media and Entertainment', 'Video', 'Hardware', 'Science and Engineering', 'Software', 'Hardware'",inertial-sense-llc,2018-06-21,seed,0,2000000.0,1.0,DataTribe,Organization,venture_capital,"We are unlike anything else in the startup world. We are not a startup incubator, studio, or a standard VC.  We co-build with startup teams step-by-step. We help build the product, define the roadmap and assemble the team. We facilitate initial pilot customers and ensure product-market fit. Our staff drives a tremendous amount of the “heavy lifting” of building the early blocks of the company. We are there hand-in-hand with the startup every step of the way through the A round. We partner with entrepreneurs who are alumni ofIntelligence Agencies, Research Labs and other innovative government-based organizations. We provide the business DNA, so that these experts can commercialize their breakthrough Cyber Security, Big Data and Analytics innovations. As entrepreneurs, founders, investors and former CEO’s of technology firms with backgrounds in the Intelligence Community, Special Operations, and Silicon Valley, DataTribe is built to be the bridge between revolutionary public-sector technology and commercial market opportunity. 

DataTribe is unique in that we provide up to $1.5M in seed funding and up to an additional $1.5M in A round funding. Our staff is located outside the DC Beltway in Fulton, Maryland and in Palo Alto, CA. DataTribe is supported by a network of top technology CEOs, CTOs, Product Managers, UI/UX, designers, enterprise sales executives and developers to accelerate our startups path to commercial success resulting in optimal resource allocations. There are two ways a startup can find its way through the early minefield of company building: one, is by trial-and-error -which we don’t recommend; or two,  find a map. DataTribe is that map.",DataTribe is a startup studio commercializing innovative technologies. West coast business savvy meets east coast tech.,272cb7cef7c14ef8bd54e47a17282980,2018,6
Germany,Bayern,München,Abracar,"Abracar is Germany’s first professional car broker and a company of Allianz. They help car seller to sell their car at the highest price without any effort. Abracar takes care of all steps of the selling process starting by creating a professional expert’s report, over 50 pictures, writing an attractive listing, filtering the potential buyers, negotiating the final price and preparing the contract. The car buyer benefits from the expert’s report, an Allianz warranty, financing solutions as well as competent consulting.",Abracar is Germany’s first professional car broker and a company of Allianz.,"'Autonomous Vehicles', 'Car Sharing', 'Automotive'","'Transportation', 'Transportation', 'Transportation'",abracar,2018-06-19,venture,A,13326380.0,1.0,Allianz X,Organization,corporate_venture_capital,"Allianz X is the digital investment unit of the Allianz Group, one of the world’s leading insurers and asset managers, and part of the Group’s Single Digital Agenda. Allianz X invests in digital growth companies that are part of our ecosystems related to insurance: Mobility, Connected Property, Connected Health, Wealth Management & Retirement, and Data Intelligence & Cybersecurity. We provide an interface between portfolio companies and the digital ecosystem within Allianz as well as drive innovation across Allianz’s operating entities and global lines of business.",Allianz X is the digital investment unit of the Allianz Group. Allianz X invests in digital growth companies related to insurance.,72db0112132c4ec499fbe672b7d61216,2018,6
United States,California,San Francisco,RideOS,"rideOS’ mission is to accelerate the safe, global roll-out of next-generation transport. rideOS builds cutting-edge transportation marketplace and mapping technologies.

rideOS collaborates with numerous partners, from Silicon Valley startups, to industrial OEMs, to companies operating ride-hailing services towards revolutionizing next-generation transport systems. Today, its ETA engine and self-driving vehicle routing service are used by mobility service companies to provide on-demand transportation.

The startup consists of highly accomplished and experienced engineers that previously worked at companies like Google, Apple, Uber and Tesla. It was founded in 2017 and is based in San Francisco.",RideOS offers marketplaces/mapping services for ride-hailing fleets,"'Autonomous Vehicles', 'Mapping Services', 'Navigation', 'Transportation', 'Software'","'Transportation', 'Navigation and Mapping', 'Navigation and Mapping', 'Transportation', 'Software'",rideos,2018-06-15,venture,A,9000000.0,3.0,Sequoia Capital,Organization,venture_capital,"Sequoia is a venture capital focused on energy, financial, enterprise, healthcare, internet, and mobile startups. The firm helps a small number of daring founders build legendary companies. Its spurs them to push the boundaries of what’s possible.

The firm seeks to invest in all sectors with a focus on energy, financials and financial services, healthcare and healthcare services, Internet, mobile, outsourcing, and technology.

The company was founded by Don Valentine in November 1972 and is based on Menlo Park, California.","Sequoia is a VC firm focused on energy, financial, enterprise, healthcare, internet, and mobile startups.",d8982ed53a6b4f59ba0470f425e35a86,2018,6
Israel,Tel Aviv,Herzliya,RideVision,"Ride Vision was created by technologists by day, motorbike riders by road, to give any motorcycle Predictive Vision. Ride Vision’s computer vision and neural network based CAT™ - Collision Aversion Technology leverages standard hardware and cameras to sense, predict and warn riders of threats on the road. Ride Vision can be incorporated into any new or traded motorbikes of any price range.",Ride Vision develops autonomous driving software for motorcycles.,"'Autonomous Vehicles', 'Artificial Intelligence', 'Machine Learning', 'Computer Vision', 'Automotive', 'Software'","'Transportation', 'Artificial Intelligence', 'Data and Analytics', 'Science and Engineering', 'Software', 'Artificial Intelligence', 'Data and Analytics', 'Software', 'Hardware', 'Software', 'Transportation', 'Software'",ridevision,2018-06-14,seed,0,2500000.0,1.0,YL Ventures,Organization,venture_capital,"YL Ventures funds & supports brilliant Israeli tech entrepreneurs from seed to lead. Based in Silicon Valley and Tel Aviv, we manage $135 million across three funds focused on seed-stage, deep-technology B2B companies in the fields of cyber security, enterprise software and autonomous vehicle technologies. YL Ventures accelerates the evolution of portfolio companies via strategic advice and US-based operational execution.","YL Ventures invests in seed stage Israeli innovations in cybersecurity, enterprise software & autonomous vehicle sectors",7a27d7fa5281412b9072c26ddf146f92,2018,6
United States,Illinois,Chicago,mHUB,"mHUB is creating the conditions for product innovation to thrive. Our mission is to galvanize Chicago’s manufacturing ecosystem by generating innovative ideas, attracting world-class talent and fostering collaboration. By providing access to labs and equipment, industry experts and entrepreneurial and technical training workshops, and a community of other product innovators, mHUB helps turn ideas into prototypes, and prototypes into sustainable new businesses that drive economic impact, and ensure the region’s continued leadership in global manufacturing.

mHUB full-service, co-working membership begins at $300 with several packages for early-stage entrepreneurs up through established enterprises, including part-time prototyping shop access, reserved desks and private office rentals. 
",mHUB is an innovation center for physical product development and manufacturing.,"'Autonomous Vehicles', 'Battery', 'Renewable Energy', 'CleanTech', 'Medical Device', 'Communication Hardware', 'Product Research', 'Smart Home', 'Non Profit', 'Consumer Electronics', 'Product Design', 'Manufacturing', 'Internet of Things', 'Coworking', 'Aerospace', 'Incubators'","'Transportation', 'Energy', 'Energy', 'Sustainability', 'Sustainability', 'Health Care', 'Hardware', 'Data and Analytics', 'Design', 'Consumer Electronics', 'Real Estate', 'Consumer Electronics', 'Hardware', 'Design', 'Manufacturing', 'Internet Services', 'Real Estate', 'Science and Engineering', 'Financial Services', 'Lending and Investments'",mhub-3,2018-06-13,grant,0,150000.0,0.0,0,0,0,0,0,0819d4460b914ba1aba9d00c2f369529,2018,6
Canada,Ontario,Toronto,GoParkr,"GoParkr helps drivers connect with parking spaces effortlessly with real-time pricing and spaces availability. Find, reserve, and compare parking spaces at events, downtown, condominiums, hotels, commercial parking garages, airports, or subway stations, hospitals, or universities around the city. Our goal is to improve mobility for everyone through a fully digitized parking process streamlined for drivers, owners, and operators.

In the wake of continuing urbanization and congestion, GoParkr recognizes that this as a problem for future growth. We would like to better improve our solution as traffic and parking become increasingly difficult to manage. With technologies such as autonomous vehicles becoming more prominent in our everyday lives, it is inevitable that the entire parking industry is on the brink of a disruption. 

The GoParkr mobile application securely connects drivers to private and commercial parking spaces. GoParkr focuses on optimizing parking space and connecting the dots in the entire parking process. Parking should be a harmony involving in-car mobile platform for the drivers and big data analytics for the parking spaces, creating seemingly frictionless parking.

GoParkr.com
We Deliver.
",Intelligent Shared Parking Solution For Smart Cities,"'Autonomous Vehicles', 'Mapping Services', 'Mobile Apps', 'Sharing Economy', 'Navigation', 'Parking'","'Transportation', 'Navigation and Mapping', 'Apps', 'Mobile', 'Software', 'Navigation and Mapping', 'Transportation'",goparkr,2018-06-12,angel,0,0.0,0.0,0,0,0,0,0,c700c59d0dce462e8a7df42be437bfd7,2018,6
